LinkName,Year,Day-of-the-week,Time-of-the-day,MinTT,TT10,TT15,TT25,TT50,AvgTT,TT85,TT90,TT95,MaxTT,StdDev
Link 1,2017,1,12:00 AM-01:00 AM,1.03,1.26,1.28,1.35,1.55,1.76,1.97,2.08,2.39,18.22,1.45
Link 1,2017,1,01:00 AM-02:00 AM,1.16,1.26,1.29,1.33,1.6,1.97,2.08,2.28,2.78,18.22,1.94
Link 1,2017,1,02:00 AM-03:00 AM,1.09,1.25,1.3,1.38,1.58,1.94,2.06,2.66,3.11,10.41,1.57
Link 1,2017,1,03:00 AM-04:00 AM,1.03,1.26,1.26,1.33,1.52,1.65,1.97,2.14,2.28,4.29,0.53
Link 1,2017,1,04:00 AM-05:00 AM,1.07,1.28,1.33,1.37,1.52,1.67,2.02,2.21,2.45,4.29,0.49
Link 1,2017,1,05:00 AM-06:00 AM,1.14,1.35,1.38,1.4,1.55,1.7,2.08,2.29,2.6,5.21,0.5
Link 1,2017,1,06:00 AM-07:00 AM,1.03,1.3,1.33,1.4,1.55,1.7,2.08,2.28,2.6,4.05,0.47
Link 1,2017,1,07:00 AM-08:00 AM,1.01,1.26,1.3,1.4,1.55,1.88,2.15,2.49,2.97,14.58,1.32
Link 1,2017,1,08:00 AM-09:00 AM,1.04,1.26,1.3,1.4,1.62,1.75,2.08,2.21,2.43,18.22,1.04
Link 1,2017,1,09:00 AM-10:00 AM,1.12,1.21,1.28,1.35,1.55,1.68,2.02,2.21,2.51,7.29,0.59
Link 1,2017,1,10:00 AM-11:00 AM,0.89,1.24,1.28,1.4,1.66,1.88,2.14,2.28,2.8,24.29,1.61
Link 1,2017,1,11:00 AM-12:00 PM,1.03,1.26,1.3,1.4,1.64,1.76,2.14,2.28,2.51,9.11,0.68
Link 1,2017,1,12:00 PM-01:00 PM,0.96,1.28,1.35,1.46,1.69,1.86,2.21,2.29,2.66,12.15,0.97
Link 1,2017,1,01:00 PM-02:00 PM,0.93,1.3,1.35,1.46,1.74,1.87,2.28,2.41,2.55,18.22,1.12
Link 1,2017,1,02:00 PM-03:00 PM,1.07,1.35,1.41,1.55,1.82,2.03,2.4,2.7,3.04,18.22,1.16
Link 1,2017,1,03:00 PM-04:00 PM,1.03,1.35,1.43,1.55,1.82,2.08,2.44,2.8,3.48,18.22,1.31
Link 1,2017,1,04:00 PM-05:00 PM,1.07,1.28,1.35,1.46,1.69,1.83,2.28,2.39,2.7,7.29,0.62
Link 1,2017,1,05:00 PM-06:00 PM,0.91,1.26,1.33,1.43,1.66,1.82,2.21,2.43,2.76,9.11,0.73
Link 1,2017,1,06:00 PM-07:00 PM,1.01,1.3,1.38,1.46,1.69,1.92,2.35,2.51,2.99,18.22,1.13
Link 1,2017,1,07:00 PM-08:00 PM,1.12,1.27,1.32,1.41,1.64,1.76,2.11,2.21,2.51,10.41,0.74
Link 1,2017,1,08:00 PM-09:00 PM,1.07,1.3,1.33,1.38,1.58,1.68,2.02,2.14,2.35,5.61,0.47
Link 1,2017,1,09:00 PM-10:00 PM,0.96,1.28,1.33,1.43,1.66,1.86,2.21,2.35,2.8,14.58,1.14
Link 1,2017,1,10:00 PM-11:00 PM,0.74,1.26,1.3,1.38,1.62,1.84,2.28,2.43,2.7,12.15,1.12
Link 1,2017,1,11:00 PM-12:00 AM,1.14,1.28,1.33,1.4,1.62,1.81,2.21,2.43,2.78,12.15,1.01
Link 1,2017,2,12:00 AM-01:00 AM,1.07,1.26,1.33,1.38,1.56,1.76,2.19,2.43,2.76,5.21,0.59
Link 1,2017,2,01:00 AM-02:00 AM,1.09,1.24,1.26,1.34,1.56,2.06,2.51,2.71,3.65,18.22,1.98
Link 1,2017,2,02:00 AM-03:00 AM,0.91,1.26,1.26,1.33,1.48,1.61,2.06,2.35,2.43,3.47,0.46
Link 1,2017,2,04:00 AM-05:00 AM,1.07,1.29,1.33,1.4,1.55,1.82,2.02,2.14,2.57,24.29,1.89
