LinkName,Year,Day-of-the-week,Time-of-the-day,PT,PTI,BT,BTI,TTI,L_Skew,L_Var,AvgTT
Link 1,2017,1,12:00 AM-01:00 AM,2.4,1.87,0.63,0.36,1.37,1.83,0.53,1.76
Link 1,2017,1,01:00 AM-02:00 AM,2.79,2.18,0.82,0.41,1.54,2.0,0.64,1.98
Link 1,2017,1,02:00 AM-03:00 AM,3.11,2.4,1.17,0.6,1.5,3.19,0.89,1.94
Link 1,2017,1,03:00 AM-04:00 AM,2.28,1.81,0.63,0.38,1.31,2.37,0.58,1.65
Link 1,2017,1,04:00 AM-05:00 AM,2.45,1.85,0.79,0.47,1.25,2.88,0.61,1.67
Link 1,2017,1,05:00 AM-06:00 AM,2.6,1.88,0.9,0.53,1.23,3.82,0.62,1.7
Link 1,2017,1,06:00 AM-07:00 AM,2.6,1.95,0.91,0.54,1.27,2.92,0.63,1.69
Link 1,2017,1,07:00 AM-08:00 AM,3.0,2.31,1.12,0.6,1.45,3.31,0.81,1.88
Link 1,2017,1,08:00 AM-09:00 AM,2.45,1.88,0.7,0.4,1.35,1.64,0.59,1.75
Link 1,2017,1,09:00 AM-10:00 AM,2.51,1.96,0.83,0.49,1.31,1.94,0.65,1.68
Link 1,2017,1,10:00 AM-11:00 AM,2.8,2.19,0.92,0.49,1.47,1.48,0.63,1.88
Link 1,2017,1,11:00 AM-12:00 PM,2.51,1.93,0.75,0.43,1.35,1.68,0.62,1.76
Link 1,2017,1,12:00 PM-01:00 PM,2.6,1.93,0.75,0.4,1.37,1.44,0.59,1.85
Link 1,2017,1,01:00 PM-02:00 PM,2.58,1.94,0.71,0.38,1.4,1.49,0.62,1.87
Link 1,2017,1,02:00 PM-03:00 PM,2.92,2.06,0.89,0.44,1.43,1.66,0.69,2.03
Link 1,2017,1,03:00 PM-04:00 PM,3.52,2.46,1.43,0.69,1.46,2.03,0.8,2.09
Link 1,2017,1,04:00 PM-05:00 PM,2.7,2.0,0.87,0.48,1.35,1.61,0.63,1.83
Link 1,2017,1,05:00 PM-06:00 PM,2.78,2.09,0.96,0.53,1.37,1.93,0.7,1.82
Link 1,2017,1,06:00 PM-07:00 PM,2.92,2.12,1.01,0.53,1.39,2.1,0.72,1.91
Link 1,2017,1,07:00 PM-08:00 PM,2.51,1.93,0.74,0.42,1.36,1.38,0.57,1.77
Link 1,2017,1,08:00 PM-09:00 PM,2.35,1.77,0.66,0.39,1.27,2.0,0.53,1.69
Link 1,2017,1,09:00 PM-10:00 PM,2.8,2.11,0.94,0.51,1.4,1.82,0.64,1.86
Link 1,2017,1,10:00 PM-11:00 PM,2.68,2.07,0.85,0.46,1.41,2.44,0.73,1.84
Link 1,2017,1,11:00 PM-12:00 AM,2.8,2.11,0.98,0.54,1.36,2.38,0.71,1.82
Link 1,2018,1,01:00 AM-02:00 AM,2.27,1.88,0.75,0.5,1.25,2.04,0.58,1.52
Link 1,2018,1,02:00 AM-03:00 AM,1.93,1.6,0.24,0.14,1.4,1.29,0.44,1.7
Link 1,2018,1,04:00 AM-05:00 AM,2.32,1.75,0.71,0.44,1.22,2.55,0.61,1.62
Link 1,2018,1,05:00 AM-06:00 AM,2.55,1.97,0.73,0.4,1.41,1.75,0.56,1.83
Link 1,2018,1,06:00 AM-07:00 AM,2.35,1.77,0.6,0.34,1.32,1.93,0.59,1.75
Link 1,2018,1,07:00 AM-08:00 AM,2.7,2.03,0.95,0.54,1.32,1.98,0.63,1.75
