LinkName,Year,Day-of-the-week,Time-of-the-day,PT,PTI,BT,BTI,TTI,L_Skew,L_Var
Link 1,2017,3,12:00 AM-01:00 AM,2.93,2.17,0.95,0.48,1.47,2.19,0.67
Link 1,2017,3,01:00 AM-02:00 AM,3.04,2.29,1.2,0.65,1.39,3.89,0.85
Link 1,2017,3,02:00 AM-03:00 AM,3.36,2.43,1.45,0.76,1.38,3.55,0.9
Link 1,2017,3,04:00 AM-05:00 AM,2.7,2.0,0.91,0.51,1.33,3.08,0.65
Link 1,2017,3,05:00 AM-06:00 AM,2.7,2.0,0.84,0.45,1.38,1.9,0.67
Link 1,2017,3,06:00 AM-07:00 AM,2.92,1.88,0.89,0.44,1.31,1.24,0.58
Link 1,2017,3,07:00 AM-08:00 AM,2.8,1.84,0.81,0.41,1.31,1.32,0.62
Link 1,2017,3,08:00 AM-09:00 AM,2.92,1.85,0.9,0.44,1.28,1.31,0.56
Link 1,2017,3,09:00 AM-10:00 AM,3.31,2.14,1.21,0.58,1.35,1.81,0.63
Link 1,2017,3,10:00 AM-11:00 AM,2.7,1.81,0.79,0.41,1.28,1.56,0.55
Link 1,2017,3,11:00 AM-12:00 PM,2.8,1.84,0.85,0.44,1.28,1.37,0.52
Link 1,2017,3,12:00 PM-01:00 PM,2.8,1.73,0.77,0.38,1.25,1.2,0.5
Link 1,2017,3,01:00 PM-02:00 PM,2.92,1.88,0.87,0.43,1.32,1.31,0.56
Link 1,2017,3,02:00 PM-03:00 PM,3.04,1.92,0.99,0.48,1.3,1.31,0.56
Link 1,2017,3,03:00 PM-04:00 PM,4.29,2.47,1.78,0.71,1.44,2.29,0.82
Link 1,2017,3,04:00 PM-05:00 PM,7.29,3.08,3.12,0.75,1.76,1.1,0.95
Link 1,2017,3,05:00 PM-06:00 PM,8.1,2.87,3.43,0.74,1.66,0.98,0.92
Link 1,2017,3,06:00 PM-07:00 PM,5.61,3.46,2.98,1.13,1.62,3.47,1.29
Link 1,2017,3,07:00 PM-08:00 PM,3.47,2.48,1.48,0.74,1.42,2.04,0.77
Link 1,2017,3,08:00 PM-09:00 PM,2.92,2.12,1.09,0.6,1.33,1.39,0.6
Link 1,2017,3,09:00 PM-10:00 PM,2.92,2.12,1.01,0.53,1.38,1.94,0.68
Link 1,2017,3,10:00 PM-11:00 PM,2.7,2.03,0.91,0.5,1.35,1.82,0.64
Link 1,2017,3,11:00 PM-12:00 AM,3.04,2.29,1.17,0.63,1.4,2.06,0.71
Link 1,2017,4,12:00 AM-01:00 AM,3.17,2.38,1.35,0.75,1.36,1.76,0.54
Link 1,2017,4,01:00 AM-02:00 AM,3.13,2.35,1.15,0.58,1.49,3.89,0.89
