LinkName,Year,Day-of-the-week,Time-of-the-day,PT,PTI,BT,BTI,TTI,L_Skew,L_Var
Link 1,2017,1,12:00 AM-01:00 AM,2.39,1.87,0.63,0.36,1.37,1.83,0.53
Link 1,2017,1,01:00 AM-02:00 AM,2.78,2.16,0.82,0.41,1.53,2.0,0.64
Link 1,2017,1,02:00 AM-03:00 AM,3.11,2.4,1.17,0.6,1.5,3.19,0.89
Link 1,2017,1,03:00 AM-04:00 AM,2.28,1.81,0.63,0.38,1.31,2.38,0.58
Link 1,2017,1,04:00 AM-05:00 AM,2.45,1.85,0.79,0.47,1.25,2.88,0.61
Link 1,2017,1,05:00 AM-06:00 AM,2.6,1.88,0.9,0.53,1.23,3.68,0.6
Link 1,2017,1,06:00 AM-07:00 AM,2.6,1.95,0.9,0.53,1.28,2.92,0.63
Link 1,2017,1,07:00 AM-08:00 AM,2.97,2.28,1.09,0.58,1.45,3.26,0.8
Link 1,2017,1,08:00 AM-09:00 AM,2.43,1.87,0.68,0.39,1.35,1.64,0.59
Link 1,2017,1,09:00 AM-10:00 AM,2.51,1.96,0.83,0.5,1.31,1.94,0.65
Link 1,2017,1,10:00 AM-11:00 AM,2.8,2.19,0.92,0.49,1.47,1.48,0.63
Link 1,2017,1,11:00 AM-12:00 PM,2.51,1.93,0.75,0.43,1.35,1.68,0.62
Link 1,2017,1,12:00 PM-01:00 PM,2.66,1.97,0.8,0.43,1.37,1.47,0.6
Link 1,2017,1,01:00 PM-02:00 PM,2.55,1.89,0.68,0.36,1.39,1.53,0.64
Link 1,2017,1,02:00 PM-03:00 PM,3.04,2.15,1.01,0.5,1.44,1.87,0.74
Link 1,2017,1,03:00 PM-04:00 PM,3.48,2.43,1.39,0.67,1.46,2.08,0.8
Link 1,2017,1,04:00 PM-05:00 PM,2.7,2.0,0.87,0.48,1.35,1.71,0.66
Link 1,2017,1,05:00 PM-06:00 PM,2.76,2.08,0.94,0.51,1.37,1.93,0.7
Link 1,2017,1,06:00 PM-07:00 PM,2.99,2.17,1.07,0.56,1.39,2.1,0.72
Link 1,2017,1,07:00 PM-08:00 PM,2.51,1.91,0.75,0.42,1.34,1.56,0.57
Link 1,2017,1,08:00 PM-09:00 PM,2.35,1.77,0.67,0.4,1.26,2.0,0.53
Link 1,2017,1,09:00 PM-10:00 PM,2.8,2.11,0.94,0.51,1.4,1.82,0.64
Link 1,2017,1,10:00 PM-11:00 PM,2.7,2.08,0.86,0.47,1.42,2.25,0.72
Link 1,2017,1,11:00 PM-12:00 AM,2.78,2.09,0.97,0.53,1.36,2.38,0.71
Link 1,2018,1,01:00 AM-02:00 AM,2.27,1.88,0.75,0.5,1.25,2.04,0.58
Link 1,2018,1,02:00 AM-03:00 AM,1.93,1.6,0.23,0.14,1.4,1.29,0.44
Link 1,2018,1,04:00 AM-05:00 AM,2.32,1.75,0.71,0.44,1.22,2.55,0.61
Link 1,2018,1,05:00 AM-06:00 AM,2.54,1.95,0.71,0.39,1.4,2.03,0.57
Link 1,2018,1,06:00 AM-07:00 AM,2.43,1.83,0.68,0.39,1.32,1.97,0.6
Link 1,2018,1,07:00 AM-08:00 AM,2.7,2.03,0.95,0.55,1.31,2.33,0.63
Link 1,2018,1,08:00 AM-09:00 AM,2.51,1.96,0.77,0.44,1.36,2.03,0.57
Link 1,2018,1,09:00 AM-10:00 AM,2.35,1.85,0.64,0.38,1.35,1.44,0.62
Link 1,2018,1,10:00 AM-11:00 AM,2.51,2.02,0.71,0.4,1.45,1.89,0.68
Link 1,2018,1,11:00 AM-12:00 PM,2.51,1.93,0.69,0.38,1.4,1.81,0.63
Link 1,2018,1,12:00 PM-01:00 PM,2.88,2.21,0.96,0.5,1.48,1.91,0.74
Link 1,2018,1,01:00 PM-02:00 PM,2.6,2.0,0.81,0.46,1.37,1.44,0.59
Link 1,2018,1,02:00 PM-03:00 PM,2.91,2.08,0.89,0.44,1.44,1.62,0.66
Link 1,2018,1,03:00 PM-04:00 PM,3.12,2.26,1.14,0.58,1.43,1.5,0.71
Link 1,2018,1,04:00 PM-05:00 PM,2.92,2.25,0.99,0.52,1.48,1.72,0.69
Link 1,2018,1,05:00 PM-06:00 PM,2.43,1.84,0.67,0.38,1.33,1.43,0.56
Link 1,2018,1,06:00 PM-07:00 PM,2.7,2.11,0.93,0.53,1.38,1.75,0.64
Link 1,2018,1,07:00 PM-08:00 PM,2.43,1.93,0.75,0.45,1.33,1.51,0.59
Link 1,2018,1,08:00 PM-09:00 PM,2.85,2.15,0.95,0.5,1.43,2.36,0.67
Link 1,2018,1,09:00 PM-10:00 PM,2.43,1.87,0.75,0.45,1.29,2.48,0.63
Link 1,2018,1,10:00 PM-11:00 PM,2.51,1.96,0.84,0.51,1.3,2.71,0.68
Link 1,2018,1,11:00 PM-12:00 AM,2.82,2.24,1.09,0.63,1.37,2.28,0.73
Link 1,2018,1,12:00 AM-01:00 AM,2.12,1.67,0.54,0.34,1.25,1.47,0.51
Link 1,2018,1,03:00 AM-04:00 AM,2.16,1.88,0.69,0.47,1.28,2.16,0.71
Link 1,2019,1,01:00 AM-02:00 AM,1.93,1.58,0.38,0.25,1.27,0.83,0.45
Link 1,2019,1,04:00 AM-05:00 AM,2.0,1.57,0.48,0.32,1.19,1.8,0.45
Link 1,2019,1,05:00 AM-06:00 AM,2.16,1.65,0.59,0.38,1.2,2.09,0.47
Link 1,2019,1,06:00 AM-07:00 AM,2.23,1.73,0.64,0.4,1.23,1.85,0.49
Link 1,2019,1,07:00 AM-08:00 AM,2.28,1.76,0.68,0.42,1.24,1.42,0.5
